video_id,channel,title,url,duration_minutes,duration_seconds,published_at,collected_at
7JRHSo2F-Wk,Alex Finn,Hermes Agent powered by local models on the DGX Spark is basically magic,https://www.youtube.com/watch?v=7JRHSo2F-Wk,24.1,1447,2026-05-13T13:30:07Z,2026-05-14T12:44:52.505656Z
cEo95olh2j4,Alex Finn,Hermes Agent is blowing me away...,https://www.youtube.com/watch?v=cEo95olh2j4,18.9,1132,2026-05-09T20:54:26Z,2026-05-14T12:44:52.505676Z
Bg-IPiql7x8,Alex Finn,Hermes Agent might have just killed OpenClaw,https://www.youtube.com/watch?v=Bg-IPiql7x8,19.8,1189,2026-05-05T21:11:59Z,2026-05-14T12:44:52.505691Z
iz3_xhi6iQE,Alex Finn,ChatGPT 5.5 Codex is the greatest AI coding tool ever. Here's how to use it,https://www.youtube.com/watch?v=iz3_xhi6iQE,23.9,1431,2026-04-30T17:54:13Z,2026-05-14T12:44:52.505717Z
B2wHaRDf3Qo,Alex Finn,Hermes Agent w/ ChatGPT 5.5 is literally magic,https://www.youtube.com/watch?v=B2wHaRDf3Qo,17.3,1037,2026-04-28T22:13:21Z,2026-05-14T12:44:52.505733Z
_v_heNg0j1c,Alex Finn,The best Claude Design workflow you’ll ever see…,https://www.youtube.com/watch?v=_v_heNg0j1c,23.8,1428,2026-04-22T22:12:45Z,2026-05-14T12:44:52.505764Z
8YhYtIF9PYI,Alex Finn,The creator of Claude Code just revealed 7 secrets to using Claude Code (Opus 4.7),https://www.youtube.com/watch?v=8YhYtIF9PYI,13.1,783,2026-04-18T15:05:22Z,2026-05-14T12:44:52.505786Z
pHr1O_Af5NA,Alex Finn,Claude Code for Desktop is the BEST way to build apps with AI EVER (full tutorial),https://www.youtube.com/watch?v=pHr1O_Af5NA,16.3,976,2026-04-15T02:13:41Z,2026-05-14T12:44:52.505801Z
SNAlFLV9MBE,Riley Brown,7 Tools That Make Codex 10x MORE Powerful,https://www.youtube.com/watch?v=SNAlFLV9MBE,24.6,1475,2026-04-30T01:19:44Z,2026-05-14T12:44:56.270033Z
5XZxmkjsNos,Riley Brown,GPT 5.5 + Codex Just Became the Best Model Ever,https://www.youtube.com/watch?v=5XZxmkjsNos,23.2,1392,2026-04-24T04:00:59Z,2026-05-14T12:44:56.270067Z
NrKABtmG4zs,Riley Brown,ChatGPT Just Became the Best AI Image Model in the World,https://www.youtube.com/watch?v=NrKABtmG4zs,22.4,1347,2026-04-22T02:15:03Z,2026-05-14T12:44:56.270077Z
67Cbb3DyIxA,Riley Brown,I Downloaded Claude Code’s Leak (The Results are INSANE),https://www.youtube.com/watch?v=67Cbb3DyIxA,17.4,1045,2026-04-04T00:34:59Z,2026-05-14T12:44:56.270109Z
